# Time (hours) 	 Flux Target 	 Flux Comp1 	 Flux Comp2 	 Flux Comp3 	 Flux Comp4 	 Flux Comp5 	 Flux Comp6 	 Flux Comp7 	 Flux Comp8 	 Flux Comp9 
-2.0759851532	0.0563607990	0.0568059475	0.0568921814	0.0570553384	0.0570815142	0.0566695451	0.0569330252	0.0570140018	0.0568994386	0.0568729800
-2.0355811128	0.0580068603	0.0587015584	0.0584856623	0.0584495036	0.0589417050	0.0583601434	0.0585319844	0.0585082013	0.0587228324	0.0585142052
-1.9951770724	0.0597481668	0.0602848403	0.0603093657	0.0601647955	0.0602687838	0.0600382615	0.0601080786	0.0599657122	0.0600597014	0.0601825511
-1.9547730320	0.0615112918	0.0616142760	0.0619208802	0.0617586960	0.0619013144	0.0615553833	0.0616552541	0.0615089766	0.0617505169	0.0617551707
-1.9143689915	0.0632044405	0.0634043663	0.0633435596	0.0632638456	0.0634407603	0.0631216296	0.0631253857	0.0629619360	0.0632659973	0.0630737917
-1.8739649511	0.0645581300	0.0650560765	0.0648662305	0.0648431238	0.0651855489	0.0649340256	0.0648640452	0.0646234593	0.0648346087	0.0648977190
-1.8335609107	0.0662510659	0.0663230138	0.0663451106	0.0662174844	0.0665031634	0.0663062564	0.0664492693	0.0664831491	0.0664776254	0.0666012794
-1.7931568703	0.0676433935	0.0678644588	0.0681316006	0.0679428980	0.0680379665	0.0678522420	0.0679798702	0.0678085794	0.0680316782	0.0681605608
-1.7527528299	0.0690279810	0.0692570389	0.0694569988	0.0693231710	0.0693496599	0.0692511814	0.0695291804	0.0692826927	0.0693815493	0.0695864678
-1.7123487895	0.0705882453	0.0707984977	0.0710978708	0.0705454131	0.0708792053	0.0705338103	0.0710626095	0.0707170200	0.0708184175	0.0709825933
-1.6719447491	0.0720353179	0.0719830310	0.0720959078	0.0718033777	0.0723041869	0.0720413722	0.0723763081	0.0721818828	0.0722463176	0.0722278856
-1.6315407087	0.0733998667	0.0732946594	0.0736065677	0.0733218384	0.0734836514	0.0734280513	0.0735374799	0.0735303085	0.0735481415	0.0737773119
-1.5911366683	0.0746812965	0.0744175784	0.0749076014	0.0747054452	0.0748604261	0.0744496820	0.0747084713	0.0749777853	0.0750019686	0.0749545985
-1.5507326279	0.0760071605	0.0758871587	0.0761249936	0.0758989001	0.0758565610	0.0758030795	0.0762201931	0.0759856840	0.0762668293	0.0761743651
-1.5103285875	0.0773299713	0.0770349044	0.0773579509	0.0767564554	0.0773841349	0.0771717898	0.0772716993	0.0774152846	0.0776547437	0.0772618633
-1.4699245471	0.0785062405	0.0781332976	0.0786267267	0.0782486840	0.0786410999	0.0783065697	0.0786050817	0.0785009052	0.0787555182	0.0782322399
-1.4295205067	0.0795572028	0.0792508471	0.0795202601	0.0793683472	0.0798503464	0.0793979259	0.0796316909	0.0794846183	0.0795564436	0.0794501692
