# Time (hours) 	 Flux Target 	 Flux Comp1 	 Flux Comp2 	 Flux Comp3 	 Flux Comp4 	 Flux Comp5 	 Flux Comp6 	 Flux Comp7 	 Flux Comp8 	 Flux Comp9 
-2.0919616462	0.0562543590	0.0567024954	0.0561106215	0.0562750392	0.0561197718	0.0565319147	0.0563610795	0.0562372010	0.0561550974	0.0563573899
-2.0515576058	0.0580606209	0.0580165054	0.0579747487	0.0580389282	0.0580869628	0.0582055471	0.0580488243	0.0580370656	0.0577365999	0.0577206762
-2.0111535654	0.0599731229	0.0596265493	0.0592995830	0.0595429735	0.0596646507	0.0600015507	0.0597531749	0.0595497259	0.0596671795	0.0594608455
-1.9707495250	0.0612767999	0.0609592583	0.0607808995	0.0611766625	0.0613598682	0.0615343240	0.0613534542	0.0613496703	0.0611019307	0.0613073821
-1.9303454846	0.0629273574	0.0627226166	0.0624628674	0.0626293479	0.0628557150	0.0629413822	0.0627873462	0.0629164584	0.0630140308	0.0626696615
-1.8899414442	0.0645834790	0.0643572508	0.0640315807	0.0641644024	0.0645213057	0.0646002706	0.0641855211	0.0644880290	0.0642857521	0.0643401140
-1.8495374038	0.0659626857	0.0659412861	0.0656108849	0.0657546258	0.0661124447	0.0660388878	0.0658417780	0.0658671187	0.0658179125	0.0657441757
-1.8091333634	0.0675299881	0.0671956866	0.0672206950	0.0671198995	0.0673252656	0.0676254146	0.0671433254	0.0676600695	0.0669985650	0.0673773730
-1.7687293230	0.0688559119	0.0688485790	0.0685875132	0.0685958719	0.0688794584	0.0690695382	0.0685252693	0.0688768424	0.0686512585	0.0685811926
-1.7283252826	0.0701037196	0.0702843974	0.0697900127	0.0699198930	0.0701920078	0.0705338969	0.0702779249	0.0704437277	0.0701131872	0.0701921520
-1.6879212422	0.0715169502	0.0714299642	0.0714437016	0.0714744840	0.0713740047	0.0718685226	0.0715946217	0.0715989468	0.0715045621	0.0716465835
-1.6475172018	0.0728268528	0.0731110583	0.0727161509	0.0728875804	0.0727421158	0.0729752223	0.0728900945	0.0730145984	0.0727313358	0.0731584385
-1.6071131614	0.0742000293	0.0738786500	0.0740987168	0.0741714486	0.0740918393	0.0745474048	0.0745110659	0.0744934579	0.0740375225	0.0742481869
-1.5667091210	0.0756883070	0.0756077186	0.0752782619	0.0754266358	0.0755911077	0.0759538741	0.0759532976	0.0758064755	0.0751799985	0.0755864369
-1.5263050806	0.0768457897	0.0767411498	0.0764359062	0.0766737980	0.0766169884	0.0772319049	0.0770166981	0.0770068955	0.0764664844	0.0768470928
-1.4859010401	0.0781057464	0.0778654956	0.0776092330	0.0777741548	0.0778379707	0.0783210255	0.0780664902	0.0782870703	0.0775706783	0.0780426658
-1.4454969997	0.0790340208	0.0789695325	0.0791057576	0.0789209198	0.0792329278	0.0792758209	0.0791423588	0.0794804008	0.0788271477	0.0790277740
-1.4050929593	0.0801594580	0.0800515776	0.0800606878	0.0798635033	0.0801710361	0.0803653468	0.0801162366	0.0804130888	0.0799765249	0.0801752241
-1.3646889189	0.0810053463	0.0810077386	0.0808115579	0.0806749854	0.0811102452	0.0811504453	0.0812407504	0.0811799308	0.0808126734	0.0809232515
-1.3242848785	0.0820273181	0.0818483302	0.0816264122	0.0815273834	0.0814838454	0.0820247896	0.0818650059	0.0819772862	0.0815076181	0.0814010574
-1.2838808381	0.0822926973	0.0821812278	0.0820073757	0.0820453644	0.0821166310	0.0823833625	0.0822446895	0.0822944905	0.0818126094	0.0820927299
-1.2434767977	0.0823073016	0.0819477781	0.0821609427	0.0820059115	0.0820546164	0.0826585312	0.0824178830	0.0823942438	0.0817964511	0.0824886075
-1.2030727573	0.0823980357	0.0820052468	0.0819489909	0.0816856397	0.0819318977	0.0822568888	0.0821684287	0.0821851514	0.0817175683	0.0820024776
-1.1626687169	0.0817902837	0.0814746892	0.0814668394	0.0814609927	0.0815493378	0.0819375234	0.0818058743	0.0815863430	0.0813202011	0.0818796390
-1.1222646765	0.0813438363	0.0809339583	0.0811444242	0.0806887793	0.0813132661	0.0813608452	0.0812241111	0.0811288864	0.0809949529	0.0812055252
-1.0818606361	0.0809528860	0.0805662777	0.0806171615	0.0804602412	0.0808303642	0.0808686278	0.0807681382	0.0808396207	0.0802876431	0.0806325515
-1.0414565957	0.0808845693	0.0807658665	0.0803797148	0.0804080585	0.0804796457	0.0807031468	0.0809158033	0.0804708679	0.0803604503	0.0807135344
-1.0010525553	0.0811554962	0.0809565619	0.0809724444	0.0808276129	0.0810338430	0.0812666715	0.0809861789	0.0807476900	0.0806475376	0.0810753326
-0.9606485149	0.0821509237	0.0817336783	0.0818376536	0.0819598578	0.0820246827	0.0822687782	0.0819834319	0.0820002075	0.0817405393	0.0820596386
-0.9202444745	0.0835190179	0.0834854105	0.0835518160	0.0835066189	0.0835650409	0.0840119801	0.0836635403	0.0835161097	0.0833093025	0.0838135103
-0.8798404341	0.0854906344	0.0854577561	0.0854520321	0.0852398648	0.0856106410	0.0858134605	0.0855180073	0.0854658233	0.0850055720	0.0858780812
-0.8394363937	0.0874525660	0.0874577269	0.0873740178	0.0876296798	0.0874791532	0.0880850165	0.0876193378	0.0878037672	0.0872564985	0.0879060080
-0.7990323533	0.0893454486	0.0892578471	0.0897249074	0.0895589557	0.0897184812	0.0902092699	0.0899312549	0.0896379601	0.0894120954	0.0901076397
-0.7586283129	0.0909475529	0.0912290378	0.0914305666	0.0913529839	0.0916360480	0.0919636275	0.0918777396	0.0914824216	0.0914976506	0.0919818320
-0.7182242725	0.0920473997	0.0928298477	0.0932682982	0.0929516846	0.0932534199	0.0936780394	0.0933417266	0.0931942876	0.0928074726	0.0936077188
-0.6778202321	0.0929954427	0.0939952072	0.0944935607	0.0945484453	0.0945877320	0.0950694448	0.0946137109	0.0944921762	0.0942875149	0.0947097805
-0.6374161917	0.0937444603	0.0951305899	0.0953298336	0.0954989922	0.0952495444	0.0959844763	0.0955523415	0.0954068865	0.0951737849	0.0959099143
-0.5970121513	0.0948477954	0.0959801085	0.0963107091	0.0961929499	0.0961594671	0.0966705017	0.0962763530	0.0961880827	0.0957211168	0.0963897465
-0.5566081109	0.0951863630	0.0964820202	0.0969638258	0.0966142205	0.0969985509	0.0971818896	0.0970181883	0.0968003551	0.0965439043	0.0971454586
-0.5162040705	0.0957100691	0.0970642979	0.0972877601	0.0972179781	0.0974474564	0.0978602607	0.0972688195	0.0973511667	0.0970042722	0.0973567446
-0.4758000300	0.0959689678	0.0974513396	0.0976135749	0.0979692956	0.0978808259	0.0979755195	0.0977433207	0.0977100064	0.0972955300	0.0980124209
-0.4353959896	0.0962107510	0.0976955438	0.0980032220	0.0984173563	0.0984057479	0.0984598839	0.0982327498	0.0983922755	0.0975371200	0.0983881384
-0.3949919492	0.0964642282	0.0981199960	0.0983939709	0.0984612895	0.0986275338	0.0989488688	0.0986807084	0.0986864150	0.0979604432	0.0987254019
-0.3545879088	0.0966464898	0.0984891279	0.0989731523	0.0988050307	0.0990025334	0.0991077385	0.0988448072	0.0990318161	0.0981430174	0.0990424168
-0.3141838684	0.0970669587	0.0989970690	0.0990425354	0.0991459791	0.0991856501	0.0994468864	0.0992036910	0.0992659374	0.0987703563	0.0994709582
-0.2737798280	0.0974808203	0.0990744876	0.0993533466	0.0993182095	0.0991208748	0.0997631518	0.0993604972	0.0993609803	0.0988523331	0.0994758637
-0.2333757876	0.0974381287	0.0993635224	0.0995368215	0.0993511685	0.0996120912	0.0999549975	0.0993822768	0.0995494944	0.0989437417	0.0995451000
-0.1929717472	0.0974630674	0.0994269863	0.0996430198	0.0994105070	0.0998990566	0.1000067993	0.0995863111	0.0996961554	0.0991803398	0.1000326549
-0.1525677068	0.0977715762	0.0996169733	0.0998234572	0.0996837300	0.0999811220	0.1001587813	0.0996152360	0.1000378893	0.0993372311	0.1000421824
-0.1121636664	0.0978134372	0.0996551500	0.1000316974	0.0995936518	0.0999647079	0.1002103487	0.0998017245	0.0999236452	0.0994799839	0.0999634541
