# Time (hours) 	 Flux Target 	 Flux Comp1 	 Flux Comp2 	 Flux Comp3 	 Flux Comp4 	 Flux Comp5 	 Flux Comp6 	 Flux Comp7 	 Flux Comp8 	 Flux Comp9 
-1.9152620897	0.0631855201	0.0632925060	0.0633718168	0.0633481478	0.0632342516	0.0632897321	0.0634774655	0.0634311742	0.0633813875	0.0631329249
-1.8748580493	0.0646787271	0.0647834525	0.0648858271	0.0648663753	0.0648712975	0.0649095174	0.0648329379	0.0649750560	0.0647790796	0.0646450222
-1.8344540089	0.0661811269	0.0663062217	0.0664950302	0.0664450044	0.0663293356	0.0661002603	0.0663987872	0.0664345215	0.0663205279	0.0662182296
-1.7940499685	0.0678347784	0.0675103645	0.0678210778	0.0678602247	0.0676233580	0.0675536596	0.0679047498	0.0677465976	0.0677388439	0.0679209949
-1.7536459281	0.0692619305	0.0689384363	0.0692873982	0.0692007217	0.0692358595	0.0689934757	0.0693928087	0.0691634733	0.0691931213	0.0691047027
-1.7132418877	0.0707180480	0.0705613771	0.0708936586	0.0709455178	0.0705718846	0.0707008596	0.0707452165	0.0706307895	0.0706578592	0.0707424716
-1.6728378473	0.0719883540	0.0717290086	0.0723563754	0.0720859730	0.0719488180	0.0720823760	0.0718899021	0.0718971562	0.0720710409	0.0720257766
-1.6324338068	0.0731426592	0.0732560074	0.0736270547	0.0733410417	0.0732877424	0.0734383443	0.0734222579	0.0732962439	0.0732078895	0.0733145417
-1.5920297664	0.0746003937	0.0743175019	0.0748443522	0.0748414845	0.0746831668	0.0745380628	0.0747270338	0.0747363876	0.0744849746	0.0746258112
-1.5516257260	0.0758030928	0.0757296258	0.0761128241	0.0760086621	0.0761406169	0.0759940485	0.0758403181	0.0758591666	0.0758641204	0.0758910368
-1.5112216856	0.0769099873	0.0771181686	0.0772539537	0.0773164336	0.0770759173	0.0772213354	0.0771062193	0.0769637479	0.0772234437	0.0769407486
-1.4708176452	0.0781607495	0.0778913990	0.0782906859	0.0784329711	0.0784696598	0.0783409211	0.0781564157	0.0784177431	0.0781125300	0.0782385723
-1.4304136048	0.0790885266	0.0791791562	0.0793981702	0.0795286924	0.0798096127	0.0792515882	0.0792633016	0.0793758516	0.0792040771	0.0795193358
-1.3900095644	0.0801412978	0.0802543552	0.0802980901	0.0807272520	0.0807777275	0.0802112173	0.0803786607	0.0805330462	0.0800908477	0.0803714643
-1.3496055240	0.0811341403	0.0813132027	0.0810008368	0.0812957732	0.0814410554	0.0811451310	0.0811655566	0.0815345369	0.0811450993	0.0811146427
-1.3092014836	0.0816334584	0.0819065970	0.0817881505	0.0820287597	0.0820016098	0.0815306125	0.0815916708	0.0820536564	0.0816681389	0.0818187366
-1.2687974432	0.0822140728	0.0820830147	0.0821244376	0.0825265084	0.0822457943	0.0822744439	0.0821481575	0.0824302699	0.0820084589	0.0822590620
-1.2283934028	0.0819781254	0.0821045460	0.0819989186	0.0823893428	0.0821277370	0.0824345024	0.0821701354	0.0825598988	0.0820201061	0.0822889225
-1.1879893624	0.0816908225	0.0818873150	0.0817943756	0.0821655058	0.0817608011	0.0818605574	0.0819619391	0.0819579258	0.0814730159	0.0817358880
-1.1475853220	0.0813562184	0.0816419589	0.0813495465	0.0818794204	0.0812571947	0.0815238089	0.0814429961	0.0815920000	0.0811951510	0.0815710240
-1.1071812816	0.0808641121	0.0810464981	0.0808715115	0.0811006371	0.0808752519	0.0807720531	0.0809689338	0.0810117798	0.0807017636	0.0809279468
-1.0667772412	0.0805103592	0.0807504251	0.0805901874	0.0809007347	0.0805346833	0.0803378222	0.0803633161	0.0807050452	0.0805564011	0.0806701338
-1.0263732008	0.0805201853	0.0810670539	0.0805815007	0.0808344944	0.0804387186	0.0806367376	0.0808310118	0.0810229482	0.0804999092	0.0805388442
-0.9859691604	0.0809660046	0.0814393725	0.0812647370	0.0814635744	0.0811141864	0.0812831583	0.0813236640	0.0816576048	0.0810791708	0.0812715800
-0.9455651200	0.0820753582	0.0826333086	0.0823326992	0.0827539320	0.0823867995	0.0823409509	0.0826409455	0.0827510474	0.0825046690	0.0824532890
-0.9051610796	0.0836887093	0.0844408563	0.0842403737	0.0847006719	0.0843822575	0.0840500709	0.0844409107	0.0845167787	0.0840398206	0.0842724906
